state,disaster_type,total_events,avg_damage,median_damage,avg_deaths,avg_affected,avg_events_per_year,damage_score,deaths_score,affected_score,frequency_score,financial_vulnerability,human_vulnerability,base_vulnerability,historical_vulnerability_index,risk_rank
Odisha,Storm,13,760000.0,760000.0,12.0,3533083.6153846155,1.8571428571428572,0.362962962962963,0.0003052130387010133,0.9458125861310662,1.0,0.362962962962963,0.4730588995848836,0.40700133761173124,40.70013376117313,1.0
Maharashtra,Flood,26,1377000.0,1377000.0,62.0,3735499.3076923075,1.4444444444444444,0.6676543209876543,0.0033573434257111465,1.0,0.5185185185185185,0.6676543209876543,0.5016786717128556,0.6012640612777348,31.176655029215876,2.0
Maharashtra,Storm,10,863000.0,863000.0,28.0,213965.3,1.6666666666666667,0.4138271604938272,0.0012818947625442558,0.05727259308394696,0.7777777777777778,0.4138271604938272,0.029277243923245606,0.2600071938655945,20.222781745101795,3.0
Assam,Flood,43,125000.0,125000.0,61.0,3720601.930232558,1.72,0.04938271604938271,0.003296300817970944,0.9960119181039281,0.8399999999999999,0.04938271604938271,0.4996541094609495,0.22949127341400943,19.27726696677679,4.0
Uttar Pradesh,Flood,24,110000.0,110000.0,44.0,1449685.9583333333,1.411764705882353,0.04197530864197531,0.0022585764863874984,0.3880794884194777,0.48039215686274517,0.04197530864197531,0.1951690324529326,0.10325279816635823,4.960183441325053,5.0
Tamil Nadu,Flood,17,64000.0,64000.0,30.0,771348.5882352941,1.4166666666666667,0.01925925925925926,0.0014039799780246611,0.2064861178798471,0.48611111111111116,0.01925925925925926,0.10394504892893588,0.05313357512712991,2.582882124235482,6.0
Uttar Pradesh,Extreme temperature,20,125000.0,125000.0,122.5,25.0,1.5384615384615385,0.04938271604938271,0.007050421193993408,0.0,0.6282051282051283,0.04938271604938271,0.003525210596996704,0.03103971386842831,1.9499307430166504,7.0
Assam,Storm,6,50000.0,50000.0,48.0,468207.1666666667,1.2,0.012345679012345678,0.002502746917348309,0.12533406151464047,0.23333333333333325,0.012345679012345678,0.06391840421599439,0.03297476909380516,0.7694112788554535,8.0
Uttar Pradesh,Storm,16,25000.0,25000.0,42.0,1537.6875,1.6,0.0,0.002136491270907093,0.00040495192187106876,0.7000000000000001,0.0,0.001270721596389081,0.0005082886385556324,0.035580204698894266,9.0
Assam,Earthquake,3,75000.0,75000.0,8.0,196339.33333333334,1.0,0.024691358024691357,6.104260774020266e-05,0.05255405797573587,0.0,0.024691358024691357,0.026307550291738035,0.02533783493151003,0.0,10.0
Maharashtra,Extreme temperature,6,400000.0,400000.0,144.5,390.0,1.0,0.18518518518518517,0.008393358564277866,9.771182182898986e-05,0.0,0.18518518518518517,0.004245535193053428,0.11280932518833248,0.0,10.0
Odisha,Extreme temperature,1,125000.0,125000.0,179.0,460.0,1.0,0.04938271604938271,0.010499328531314857,0.00011645107533043997,0.0,0.04938271604938271,0.0053078898033226485,0.03175278555095869,0.0,10.0
Rajasthan,Storm,1,125000.0,125000.0,7.0,10000.0,1.0,0.04938271604938271,0.0,0.0026703436239566406,0.0,0.04938271604938271,0.0013351718119783203,0.030163698354420957,0.0,10.0
Rajasthan,Flood,4,250000.0,250000.0,180.0,160125.0,1.0,0.1111111111111111,0.01056037113905506,0.042859349794030895,0.0,0.1111111111111111,0.026709860466542976,0.07735061085328386,0.0,10.0
Rajasthan,Extreme temperature,1,125000.0,125000.0,733.0,25000.0,1.0,0.04938271604938271,0.04431693321938713,0.00668589794569595,0.0,0.04938271604938271,0.02550141558254154,0.039830195862646245,0.0,10.0
Odisha,Flood,3,2050000.0,2050000.0,47.0,1263810.0,1.0,1.0,0.0024417043096081063,0.3383198212332875,0.0,1.0,0.1703807627714478,0.6681523051085791,0.0,10.0
Tamil Nadu,Storm,12,487812.5,487812.5,28.0,521666.6666666667,1.0,0.22854938271604938,0.0012818947625442558,0.13964536326550864,0.0,0.22854938271604938,0.07046362901402645,0.16531508123524022,0.0,10.0
Tamil Nadu,Extreme temperature,1,125000.0,125000.0,300.0,100000.0,1.0,0.04938271604938271,0.01788548406787938,0.026763669554392498,0.0,0.04938271604938271,0.02232457681113594,0.038559460354084,0.0,10.0
Tamil Nadu,Earthquake,1,1022800.0,1022800.0,16389.0,654512.0,1.0,0.49274074074074076,1.0,0.17520854009147968,0.0,0.49274074074074076,0.5876042700457398,0.5306861524627404,0.0,10.0
Uttar Pradesh,Earthquake,1,125000.0,125000.0,78.0,560.0,1.0,0.04938271604938271,0.004334025149554389,0.0001432214374753687,0.0,0.04938271604938271,0.002238623293514879,0.03052507894703558,0.0,10.0
